symbol,timeframe,n_bars,n_train,n_val,n_test,label_down,label_neutral,label_up,n_buy,n_sell,n_trades,win_rate,net_return,sharpe,max_drawdown,mean_conf,max_conf,pct_pred_down,pct_pred_neutral,pct_pred_up,status,elapsed_s
INJ/USD,4h,10750,6450,2150,2150,1111,4070,1269,217,21,68,0.3824,0.0396,0.338,-0.1599,0.3833,0.6818,0.119,0.44,0.441,+ MARGINAL,13.4
LINK/USD,4h,10750,6450,2150,2150,942,4460,1048,182,20,67,0.3881,0.0588,0.541,-0.0799,0.3642,0.6879,0.116,0.525,0.359,* GOOD,3.9
DOGE/USD,4h,10750,6450,2150,2150,795,4834,821,30,154,57,0.4737,0.2398,1.894,-0.0513,0.359,0.6954,0.357,0.537,0.106,** STRONG,3.9
OP/USD,4h,8033,4819,1607,1607,766,3261,792,201,0,58,0.2931,-0.1252,-1.27,-0.1717,0.4462,0.7577,0.026,0.282,0.693,- LOSS,9.6
ARB/USD,4h,6262,3757,1252,1253,487,2792,478,69,52,36,0.3056,-0.0765,-1.061,-0.1238,0.3724,0.6997,0.228,0.537,0.235,- LOSS,2.3
BTC/USD,4h,10750,6450,2150,2150,461,5454,535,0,87,35,0.2857,-0.0466,-0.914,-0.0834,0.295,0.5576,0.052,0.948,0.0,- LOSS,3.7
ETH/USD,4h,10750,6450,2150,2150,644,5043,763,45,6,32,0.2812,-0.0454,-0.571,-0.0673,0.2511,0.5411,0.008,0.949,0.043,- LOSS,3.9
SOL/USD,4h,10750,6450,2150,2150,1034,4193,1223,136,110,89,0.3258,-0.1089,-0.9,-0.1628,0.3795,0.6864,0.345,0.37,0.285,- LOSS,3.8
ADA/USD,4h,10750,6450,2150,2150,784,4853,813,123,12,54,0.2593,-0.1334,-1.47,-0.1546,0.3247,0.6103,0.061,0.731,0.208,- LOSS,11.1
DOT/USD,4h,10750,6450,2150,2150,900,4673,877,45,1,15,0.4,0.0071,0.132,-0.0834,0.2504,0.6069,0.011,0.933,0.055,+ MARGINAL,12.3
AVAX/USD,4h,10750,6450,2150,2150,1042,4249,1159,133,55,64,0.2656,-0.1347,-0.978,-0.1671,0.3573,0.6404,0.151,0.604,0.246,- LOSS,12.0
XRP/USD,4h,10750,6450,2150,2150,695,5064,691,4,257,59,0.322,-0.0607,-0.646,-0.0993,0.4133,0.6841,0.597,0.367,0.036,- LOSS,11.4
LTC/USD,4h,10750,6450,2150,2150,748,4971,731,17,31,16,0.1875,-0.0557,-0.876,-0.0837,0.2605,0.6233,0.037,0.944,0.02,- LOSS,12.4
MATIC/USD,4h,7508,4504,1502,1502,776,2884,844,122,8,40,0.325,0.0461,0.6,-0.0911,0.3546,0.6428,0.082,0.586,0.332,~ WEAK+,8.7
TRX/USD,4h,10750,6450,2150,2150,493,5471,486,0,0,0,0.0,0.0,0.0,0.0,0.1241,0.2446,0.0,1.0,0.0,TOO_FEW_TRADES,12.3
FIL/USD,4h,10750,6450,2150,2150,987,4607,856,15,38,15,0.2,-0.0958,-0.698,-0.1796,0.2777,0.7311,0.034,0.945,0.021,- LOSS,11.8
RUNE/USD,4h,10750,6450,2150,2150,1242,3875,1333,46,77,32,0.375,-0.0165,-0.133,-0.0678,0.3201,0.6147,0.162,0.765,0.073,- LOSS,15.9
ETC/USD,4h,10750,6450,2150,2150,824,4799,827,53,5,21,0.381,-0.0131,-0.246,-0.0656,0.2477,0.6897,0.014,0.927,0.058,- LOSS,4.1
BCH/USD,4h,10750,6450,2150,2150,711,5005,734,41,149,72,0.2639,-0.1667,-2.063,-0.1761,0.365,0.7491,0.247,0.656,0.097,- LOSS,12.7
