run,symbol,window,n_trades,win_rate,net_return,sharpe,max_dd,mean_conf
1,LINK/USD,TEST,21,0.4762,0.0671,1.329,-0.0385,0.3066
1,LINK/USD,OOT ,21,0.4286,0.0896,0.832,-0.0567,0.3032
2,LINK/USD,TEST,21,0.4762,0.0671,1.329,-0.0385,0.3066
2,LINK/USD,OOT ,21,0.4286,0.0896,0.832,-0.0567,0.3032
3,LINK/USD,TEST,21,0.4762,0.0671,1.329,-0.0385,0.3066
3,LINK/USD,OOT ,21,0.4286,0.0896,0.832,-0.0567,0.3032
4,LINK/USD,TEST,21,0.4762,0.0671,1.329,-0.0385,0.3066
4,LINK/USD,OOT ,21,0.4286,0.0896,0.832,-0.0567,0.3032
5,LINK/USD,TEST,21,0.4762,0.0671,1.329,-0.0385,0.3066
5,LINK/USD,OOT ,21,0.4286,0.0896,0.832,-0.0567,0.3032
